gname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,nlog10,color,shape
AT5G63640,564.5003617171205,-0.1340691657698176,0.23833741556073706,-0.5625183333233379,0.5737629162254692,0.9996587219459798,AT5G63640,0.00014824047270472056,nobody_cares,not_important
AT5G63650,80.37183126515518,0.1368746954985245,0.45559693260674533,0.30042936135540166,0.7638496703452786,0.9996587219459798,SNRK2.5,0.00014824047270472056,nobody_cares,not_important
AT5G63660,373.997567621356,0.7509793887925891,0.24641670330556217,3.0475993661085465,0.002306772461400537,0.11593232322095032,PDF2.5,0.9357954610220185,nobody_cares,not_important
AT5G63670,383.420060729674,-0.08973123970414004,0.22034749477891075,-0.40722604899217646,0.6838419712442748,0.9996587219459798,SPT42,0.00014824047270472056,nobody_cares,not_important
AT5G63680,349.67192948894524,0.09143812084837871,0.21527338829446782,0.4247534800878522,0.6710163931603713,0.9996587219459798,AT5G63680,0.00014824047270472056,nobody_cares,not_important
AT5G63690,25.188077306383622,0.4406933627442596,0.5902581113122358,0.746611277843399,0.4552982387855271,0.9936442567730717,AT5G63690,0.0027690733226007356,nobody_cares,not_important
AT5G63700,52.78662564810491,0.3108123128575143,0.38661223715171633,0.8039381141873784,0.4214327166527565,0.9936442567730717,AT5G63700,0.0027690733226007356,nobody_cares,not_important
AT5G63710,135.45846647232446,0.17188364118576469,0.3039399093587456,0.5655184985361281,0.5717211456451532,0.9996587219459798,AT5G63710,0.00014824047270472056,nobody_cares,not_important
AT5G63760,65.79216492358974,0.10938436190311193,0.45276841585452504,0.24159008904511844,0.80909780243736,0.9996587219459798,ARI15,0.00014824047270472056,nobody_cares,not_important
AT5G63770,163.97102485322134,0.25675432189003805,0.3190999504908175,0.8046203751994203,0.42103878068054523,0.9936442567730717,DGK2,0.0027690733226007356,nobody_cares,not_important
AT5G63780,101.96626879281338,0.3298468841319997,0.3180453831257055,1.037106342781369,0.2996862995062676,0.9731369081144106,SHA1,0.01182605566598194,nobody_cares,not_important
AT5G63790,1114.0494493402862,-0.21348990212260624,0.30327901799125917,-0.7039389125454081,0.4814708170490406,0.9945916561251463,NAC102,0.0023551884920973505,nobody_cares,not_important
AT5G63800,222.7125841743315,-0.2361492883130297,0.3112440860212884,-0.7587269892635892,0.44801588844907847,0.9936442567730717,MUM2,0.0027690733226007356,nobody_cares,not_important
AT5G63810,125.3385446603628,-0.013460837073041186,0.28590360495416856,-0.04708173258325655,0.962448086477231,0.9996587219459798,BGAL10,0.00014824047270472056,nobody_cares,not_important
AT5G63830,45.26551685066078,0.15571390768070542,0.41881472130715,0.3717966436201465,0.7100442628447812,0.9996587219459798,AT5G63830,0.00014824047270472056,nobody_cares,not_important
AT5G63840,616.4097698365406,0.17352799618802692,0.193257344223631,0.8979115225097271,0.36923272118377526,0.9891840854705073,RSW3,0.00472287941945362,nobody_cares,not_important
AT5G63850,259.53982180243156,1.1266515953464196,0.24153865055263354,4.664477477077366,3.0940221601764144e-06,0.0007160560421563835,AAP4,3.145052986285988,picked1,picked4
AT5G63860,820.2997291759277,-0.3024547115265297,0.319367608466821,-0.9470425412849959,0.34361710177764604,0.9843602129257405,UVR8,0.006845948459691555,nobody_cares,not_important
AT5G63870,103.56496186999186,0.016919237838403954,0.35123202946187376,0.04817111316506667,0.9615798718069563,0.9996587219459798,PP7,0.00014824047270472056,nobody_cares,not_important
AT5G63880,185.1112203647777,-0.024941309483396592,0.26728524612972393,-0.09331345386453394,0.9256545440804744,0.9996587219459798,VPS20.1,0.00014824047270472056,nobody_cares,not_important
AT5G63890,108.63860924159401,0.1693609905400233,0.3965572087545384,0.4270783301908265,0.6693222758421169,0.9996587219459798,HDH,0.00014824047270472056,nobody_cares,not_important
AT5G63905,580.1781066137794,-0.1607638684271188,0.20838297976195555,-0.771482721913114,0.4404208598119749,0.9936442567730717,AT5G63905,0.0027690733226007356,nobody_cares,not_important
AT5G63910,374.15235320612675,-0.2379648169954686,0.23702830905771036,-1.0039510383442436,0.3154022139649316,0.9759595706446929,FCLY,0.010568172711985456,nobody_cares,not_important
AT5G63920,21.903061598262177,0.7148381808310226,0.7102388016381884,1.006475820783412,0.31418673704440814,0.9753886906403292,TOP3A,0.010822284238581097,nobody_cares,not_important
AT5G63930,281.3501396587815,-0.08751749438541975,0.23350840099240178,-0.37479377193057617,0.7078138465004726,0.9996587219459798,AT5G63930,0.00014824047270472056,nobody_cares,not_important
AT5G63940,188.97873225187072,0.14541535890133728,0.29387210185064866,0.494825327023523,0.6207234247609066,0.9996587219459798,AT5G63940,0.00014824047270472056,nobody_cares,not_important
AT5G63950,165.62084244064204,-0.2838345599090501,0.26351752140294954,-1.077099383744709,0.2814358683686632,0.9669450033571132,CHR24,0.014598226452426087,nobody_cares,not_important
AT5G63960,61.65576061812159,-0.06748376258056624,0.39210451495241855,-0.17210656854781517,0.863353748865586,0.9996587219459798,AT5G63960,0.00014824047270472056,nobody_cares,not_important
AT5G63970,314.94709568215944,0.33557917355637595,0.3185556145347526,1.0534398335640263,0.29213945589375423,0.9689262266922407,RGLG3,0.013709288542801434,nobody_cares,not_important
AT5G63980,97.84629314159298,0.8342138961393881,0.8241016495643074,1.0122706301830933,0.31140867353586343,0.9748942875924008,SAL1,0.011042474357191998,nobody_cares,not_important
AT5G63990,125.88126826622835,0.3057810097668399,0.3066180626004902,0.9972700472159043,0.31863344848804787,0.9774457089750223,AT5G63990,0.009907355617380778,nobody_cares,not_important
AT5G64000,13.922598780571196,0.10467984633244183,0.6832374825768016,0.15321150990962348,0.8782314812415684,0.9996587219459798,SAL2,0.00014824047270472056,nobody_cares,not_important
